ranking,EDV,EDM
364,5.1,624493.8603
365,5.1,623005.0753
366,5.1,621523.8983
367,5.1,620050.2698
368,5.1,618584.1309
369,5.1,617125.4234
370,5.1,615674.0895
371,5.1,614230.0722
372,5.1,612793.3152
373,5.1,611363.7624
374,5,609941.3586
375,5,608526.0492
376,5,607117.7798
377,5,605716.497
378,5,604322.1476
379,5,602934.6792
380,5,601554.0398
381,5,600180.1779
382,5,598813.0425
383,5,597452.5834
384,5,596098.7505
385,4.9,594751.4946
386,4.9,593410.7665
387,4.9,592076.5181
388,4.9,590748.7012
389,4.9,589427.2684
390,4.9,588112.1729
391,4.9,586803.3679
392,4.9,585500.8076
393,4.9,584204.4462
394,4.9,582914.2386
395,4.9,581630.14
396,4.9,580352.1063
397,4.9,579080.0935
398,4.8,577814.0582
399,4.8,576553.9575
400,4.8,575299.7486
401,4.8,574051.3896
402,4.8,572808.8385
403,4.8,571572.054
404,4.8,570340.9952
405,4.8,569115.6214
406,4.8,567895.8925
407,4.8,566681.7687
408,4.8,565473.2104
409,4.8,564270.1788
410,4.7,563072.635
411,4.7,561880.5407
412,4.7,560693.8581
413,4.7,559512.5493
414,4.7,558336.5773
415,4.7,557165.9051
416,4.7,556000.4961
417,4.7,554840.3141
418,4.7,553685.3232
419,4.7,552535.4878
420,4.7,551390.7727
421,4.7,550251.143
422,4.7,549116.5641
423,4.6,547987.0017
424,4.6,546862.4219
425,4.6,545742.791
426,4.6,544628.0756
427,4.6,543518.2428
428,4.6,542413.2598
429,4.6,541313.094
430,4.6,540217.7135
431,4.6,539127.0862
432,4.6,538041.1806
433,4.6,536959.9655
434,4.6,535883.4097
435,4.6,534811.4826
436,4.6,533744.1537
437,4.5,532681.3927
438,4.5,531623.1698
439,4.5,530569.4552
440,4.5,529520.2196
441,4.5,528475.4338
442,4.5,527435.0688
443,4.5,526399.0962
444,4.5,525367.4873
445,4.5,524340.2142
446,4.5,523317.2489
447,4.5,522298.5638
448,4.5,521284.1313
449,4.5,520273.9244
450,4.5,519267.9161
451,4.4,518266.0796
452,4.4,517268.3885
453,4.4,516274.8165
454,4.4,515285.3375
455,4.4,514299.9258
456,4.4,513318.5557
457,4.4,512341.2018
458,4.4,511367.839
459,4.4,510398.4423
460,4.4,509432.987
461,4.4,508471.4485
462,4.4,507513.8026
463,4.4,506560.0249
464,4.4,505610.0917
465,4.3,504663.9792
466,4.3,503721.6638
467,4.3,502783.1223
468,4.3,501848.3315
469,4.3,500917.2683
470,4.3,499989.9102
471,4.3,499066.2344
472,4.3,498146.2185
473,4.3,497229.8405
474,4.3,496317.0782
475,4.3,495407.9098
476,4.3,494502.3136
477,4.3,493600.2682
478,4.3,492701.7521
479,4.3,491806.7443
480,4.2,490915.2238
481,4.2,490027.1697
482,4.2,489142.5615
483,4.2,488261.3786
484,4.2,487383.6007
485,4.2,486509.2077
486,4.2,485638.1796
487,4.2,484770.4965
488,4.2,483906.1388
489,4.2,483045.087
490,4.2,482187.3216
491,4.2,481332.8236
492,4.2,480481.5737
493,4.2,479633.5532
494,4.2,478788.7432
495,4.1,477947.1251
496,4.1,477108.6805
497,4.1,476273.391
498,4.1,475441.2385
499,4.1,474612.2048
500,4.1,473786.2721
501,4.1,472963.4227
502,4.1,472143.6388
503,4.1,471326.9031
504,4.1,470513.198
505,4.1,469702.5065
506,4.1,468894.8114
507,4.1,468090.0958
508,4.1,467288.3428
509,4.1,466489.5357
510,4,465693.6579
511,4,464900.6931
512,4,464110.6247
513,4,463323.4367
514,4,462539.113
515,4,461757.6375
516,4,460978.9945
517,4,460203.1683
518,4,459430.1431
519,4,458659.9036
520,4,457892.4343
521,4,457127.72
522,4,456365.7455
523,4,455606.4958
524,4,454849.956
525,4,454096.1113
526,4,453344.9469
527,3.9,452596.4482
528,3.9,451850.6009
529,3.9,451107.3903
530,3.9,450366.8024
531,3.9,449628.8229
532,3.9,448893.4378
533,3.9,448160.633
534,3.9,447430.3947
535,3.9,446702.7091
536,3.9,445977.5627
537,3.9,445254.9417
538,3.9,444534.8327
539,3.9,443817.2223
540,3.9,443102.0973
541,3.9,442389.4445
542,3.9,441679.2508
543,3.8,440971.5031
544,3.8,440266.1886
545,3.8,439563.2945
546,3.8,438862.808
547,3.8,438164.7165
548,3.8,437469.0075
549,3.8,436775.6685
550,3.8,436084.6871
551,3.8,435396.051
552,3.8,434709.7481
553,3.8,434025.7663
554,3.8,433344.0934
555,3.8,432664.7177
556,3.8,431987.6271
557,3.8,431312.81
558,3.8,430640.2547
559,3.8,429969.9495
560,3.8,429301.8829
561,3.7,428636.0434
562,3.7,427972.4197
563,3.7,427311.0005
564,3.7,426651.7745
565,3.7,425994.7307
566,3.7,425339.8579
567,3.7,424687.1451
568,3.7,424036.5815
569,3.7,423388.1562
570,3.7,422741.8584
571,3.7,422097.6775
572,3.7,421455.6028
573,3.7,420815.6237
574,3.7,420177.7299
575,3.7,419541.9108
576,3.7,418908.1561
577,3.7,418276.4557
578,3.6,417646.7991
579,3.6,417019.1765
580,3.6,416393.5775
581,3.6,415769.9924
582,3.6,415148.4111
583,3.6,414528.8238
584,3.6,413911.2206
585,3.6,413295.5919
586,3.6,412681.9279
587,3.6,412070.2192
588,3.6,411460.456
589,3.6,410852.6289
590,3.6,410246.7286
591,3.6,409642.7457
592,3.6,409040.6707
593,3.6,408440.4947
594,3.6,407842.2082
595,3.6,407245.8023
596,3.6,406651.2679
597,3.5,406058.596
598,3.5,405467.7776
599,3.5,404878.8039
600,3.5,404291.6659
601,3.5,403706.3551
602,3.5,403122.8626
603,3.5,402541.1798
604,3.5,401961.2982
605,3.5,401383.209
606,3.5,400806.904
607,3.5,400232.3745
608,3.5,399659.6123
609,3.5,399088.609
610,3.5,398519.3564
611,3.5,397951.8462
612,3.5,397386.0702
613,3.5,396822.0203
614,3.5,396259.6885
615,3.5,395699.0668
616,3.4,395140.1471
617,3.4,394582.9215
618,3.4,394027.3822
619,3.4,393473.5214
620,3.4,392921.3313
621,3.4,392370.8042
622,3.4,391821.9323
623,3.4,391274.7081
624,3.4,390729.124
625,3.4,390185.1725
626,3.4,389642.846
627,3.4,389102.1372
628,3.4,388563.0386
629,3.4,388025.5429
630,3.4,387489.6428
631,3.4,386955.331
632,3.4,386422.6003
633,3.4,385891.4436
634,3.4,385361.8537
635,3.3,384833.8235
636,3.3,384307.3461
637,3.3,383782.4143
638,3.3,383259.0213
639,3.3,382737.1601
640,3.3,382216.8239
641,3.3,381698.0059
642,3.3,381180.6992
643,3.3,380664.8971
644,3.3,380150.5929
645,3.3,379637.7799
646,3.3,379126.4515
647,3.3,378616.6012
648,3.3,378108.2223
649,3.3,377601.3084
650,3.3,377095.853
651,3.3,376591.8497
652,3.3,376089.2921
653,3.3,375588.1737
654,3.3,375088.4884
655,3.2,374590.2298
656,3.2,374093.3917
657,3.2,373597.9678
658,3.2,373103.9521
659,3.2,372611.3383
660,3.2,372120.1204
661,3.2,371630.2923
662,3.2,371141.848
663,3.2,370654.7816
664,3.2,370169.0869
665,3.2,369684.7582
666,3.2,369201.7895
667,3.2,368720.175
668,3.2,368239.9088
669,3.2,367760.9853
670,3.2,367283.3985
671,3.2,366807.1429
672,3.2,366332.2127
673,3.2,365858.6023
674,3.2,365386.306
675,3.2,364915.3183
676,3.1,364445.6335
677,3.1,363977.2463
678,3.1,363510.151
679,3.1,363044.3423
680,3.1,362579.8147
681,3.1,362116.5628
682,3.1,361654.5812
683,3.1,361193.8646
684,3.1,360734.4076
685,3.1,360276.2051
686,3.1,359819.2517
687,3.1,359363.5423
688,3.1,358909.0716
689,3.1,358455.8345
690,3.1,358003.8258
691,3.1,357553.0405
692,3.1,357103.4735
693,3.1,356655.1197
694,3.1,356207.9741
695,3.1,355762.0318
696,3.1,355317.2877
697,3.1,354873.7369
698,3,354431.3746
699,3,353990.1958
700,3,353550.1957
701,3,353111.3694
702,3,352673.7122
703,3,352237.2193
704,3,351801.8859
705,3,351367.7074
706,3,350934.679
707,3,350502.796
708,3,350072.0538
709,3,349642.4479
710,3,349213.9735
711,3,348786.6262
712,3,348360.4014
713,3,347935.2945
714,3,347511.3011
715,3,347088.4167
716,3,346666.6369
717,3,346245.9572
718,3,345826.3733
719,3,345407.8807
720,2.9,344990.4752
721,2.9,344574.1523
722,2.9,344158.9078
723,2.9,343744.7375
724,2.9,343331.6369
725,2.9,342919.602
726,2.9,342508.6285
727,2.9,342098.7122
728,2.9,341689.8489
729,2.9,341282.0345
730,2.9,340875.2649
731,2.9,340469.5359
732,2.9,340064.8436
733,2.9,339661.1837
734,2.9,339258.5524
735,2.9,338856.9455
736,2.9,338456.3591
737,2.9,338056.7892
