,School,Draft Value,Exp. Draft Value,DVOE,
238,Missouri,570.4,639.8,-69.4,
239,Colorado,261.7,333.2,-71.5,
240,Mississippi State,587.0,659.6,-72.6,
241,Kentucky,471.3,544.0,-72.7,
242,Kent State,0.0,75.2,-75.2,
243,SMU,156.5,232.3,-75.8,
244,South Alabama,0.0,78.7,-78.7,
245,Oregon State,254.0,334.0,-80.0,
246,Troy,0.0,82.3,-82.3,
247,Ball State,28.1,110.7,-82.6,
248,Toledo,69.1,152.3,-83.2,
249,Michigan State,639.7,723.5,-83.8,
250,Georgia,1806.3,1890.2,-83.9,
251,Central Michigan,17.8,106.7,-88.9,
252,UNLV,0.0,90.1,-90.1,
253,Vanderbilt,323.5,415.8,-92.3,
254,Arkansas State,0.0,95.5,-95.5,
255,Michigan,1436.2,1533.5,-97.3,
256,Miami,1135.3,1232.9,-97.6,
257,New Mexico,0.0,98.5,-98.5,
258,Miami (OH),15.6,116.4,-100.8,
259,Florida International,30.8,132.6,-101.8,
260,Army,0.0,101.9,-101.9,
261,Air Force,0.0,103.9,-103.9,
262,Navy,0.0,105.3,-105.3,
263,Bowling Green,8.4,115.0,-106.6,
264,Rice,0.0,107.5,-107.5,
265,Purdue,117.7,234.5,-116.8,
266,Northwestern,237.9,360.1,-122.2,
267,Baylor,453.1,578.7,-125.6,
268,East Carolina,20.6,151.0,-130.4,
269,Iowa State,103.6,234.4,-130.8,
270,Southern Mississippi,38.9,170.1,-131.2,
271,Cincinnati,127.8,260.1,-132.3,
272,BYU,147.5,291.0,-143.5,
273,Kansas,62.2,210.6,-148.4,
274,Maryland,434.1,591.5,-157.4,
275,North Carolina,552.9,715.4,-162.5,
276,Marshall,24.9,210.7,-185.8,
277,Syracuse,68.9,265.7,-196.8,
278,South Florida,83.1,304.3,-221.2,
279,South Carolina,710.4,940.9,-230.5,
280,Georgia Tech,153.9,392.0,-238.1,
281,Illinois,60.5,301.2,-240.7,
282,California,403.5,659.1,-255.6,
283,Arkansas,462.7,723.1,-260.4,
284,Arizona State,219.5,504.3,-284.8,
